Patterns,Category,Can we detect this using only code change (partial analysis is sufficient),Feasibility using Regex,# Note,inter-class,import,signature,field,body,signature,local variable,field,body,statement,type,annotation,java version,data flow/control flow/call graph/inheritance graph/no,name(class/method/field/variable),expression text(operator/keyword),constant,
TLW: Wait with two locks held (TLW_TWO_LOCK_WAIT),Multithreaded correctness (MT_CORRECTNESS),No,No for regex limitation,,,,,,,,,,Y,,Y,,,,,,,
UW: Unconditional wait (UW_UNCOND_WAIT),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,,,,,,,,
"UG: Unsynchronized get method, synchronized set method (UG_SYNC_SET_UNSYNC_GET)",Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,Y,,,,,,,,,,,,,
IS: Field not guarded against concurrent access (IS_FIELD_NOT_GUARDED),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,Y,,,Y,,,,,,
ML: Synchronization on field in futile attempt to guard that field (ML_SYNC_ON_FIELD_TO_GUARD_CHANGING_THAT_FIELD),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,Y,,,Y,,,,,,
ML: Method synchronizes on an updated field (ML_SYNC_ON_UPDATED_FIELD),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,Y,,,Y,,,,,,,
WS: Class’s writeObject() method is synchronized but nothing else is (WS_WRITEOBJECT_SYNC),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,Y,,,,,,,,,,,,,
RS: Class’s readObject() method is synchronized (RS_READOBJECT_SYNC),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,,,,
SC: Constructor invokes Thread.start() (SC_START_IN_CTOR),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,,,call graph,,,,
Wa: Wait not in loop (WA_NOT_IN_LOOP),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,,,,,,,,
Wa: Condition.await() not in loop (WA_AWAIT_NOT_IN_LOOP),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
No: Using notify() rather than notifyAll() (NO_NOTIFY_NOT_NOTIFYALL),Multithreaded correctness (MT_CORRECTNESS),Yes,Yes but no time,,,,,,,,,,,Y,,,,,Y,,,
UL: Method does not release lock on all paths (UL_UNRELEASED_LOCK),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,control flow,,,,
UL: Method does not release lock on all exception paths (UL_UNRELEASED_LOCK_EXCEPTION_PATH),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,control flow,,,,
MWN: Mismatched wait() (MWN_MISMATCHED_WAIT),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
MWN: Mismatched notify() (MWN_MISMATCHED_NOTIFY),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
LI: Incorrect lazy initialization of static field (LI_LAZY_INIT_STATIC),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,,,,,
LI: Incorrect lazy initialization and update of static field (LI_LAZY_INIT_UPDATE_STATIC),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,Y,,Y,Y,,,,,,,,,
JLM: Synchronization performed on util.concurrent instance (JLM_JSR166_UTILCONCURRENT_MONITORENTER),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
JLM: Using monitor style wait methods on util.concurrent abstraction (JML_JSR166_CALLING_WAIT_RATHER_THAN_AWAIT),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
JLM: Synchronization performed on Lock (JLM_JSR166_LOCK_MONITORENTER),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,cannot detect the subtypes of Lock,,,,,,,,,,Y,Y,,,inheritance graph,,,,
SWL: Method calls Thread.sleep() with a lock held (SWL_SLEEP_WITH_LOCK_HELD),Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
"RV: Return value of putIfAbsent ignored, value passed to putIfAbsent reused (RV_RETURN_VALUE_OF_PUTIFABSENT_IGNORED)",Multithreaded correctness (MT_CORRECTNESS),No,No for multi-line,,,,,,,,,,Y,,Y,,,inheritance graph,,,,
NOISE: Bogus warning about a null pointer dereference (NOISE_NULL_DEREFERENCE),Bogus random noise (NOISE),No,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,
NOISE: Bogus warning about a method call (NOISE_METHOD_CALL),Bogus random noise (NOISE),No,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,
NOISE: Bogus warning about a field reference (NOISE_FIELD_REFERENCE),Bogus random noise (NOISE),No,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,
NOISE: Bogus warning about an operation (NOISE_OPERATION),Bogus random noise (NOISE),No,-,,-,-,-,-,-,-,-,-,-,-,-,,,-,,,,
HSC: Huge string constants is duplicated across multiple class files (HSC_HUGE_SHARED_STRING_CONSTANT),Performance (PERFORMANCE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
Dm: The equals and hashCode methods of URL are blocking (DMI_BLOCKING_METHODS_ON_URL),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
Dm: Maps and sets of URLs can be performance hogs (DMI_COLLECTION_OF_URLS),Performance (PERFORMANCE),No,Yes but no time,enhanced with multiline,,,,Y,Y,,,,,,Y,,,,,,,
Dm: Method invokes inefficient new String(String) constructor (DM_STRING_CTOR),Performance (PERFORMANCE),Yes,Yes and implemented,enhanced with multiline,,,,,,,,,,Y,Y,,,,Y,Y,Y,
Dm: Method invokes inefficient new String() constructor (DM_STRING_VOID_CTOR),Performance (PERFORMANCE),Yes,Yes and implemented,,,,,,,,,,,Y,Y,,,,Y,Y,,
Dm: Method invokes toString() method on a String (DM_STRING_TOSTRING),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
Dm: Explicit garbage collection; extremely dubious except in benchmarking code (DM_GC),Performance (PERFORMANCE),No,No for multi-line,,,,,,,Y,,,Y,,,,,,,,,
Dm: Method invokes inefficient Boolean constructor; use Boolean.valueOf(…) instead (DM_BOOLEAN_CTOR),Performance (PERFORMANCE),Yes,Yes but no time,enhanced with multiline,,,,,,,,,,Y,Y,,Y,,Y,Y,,
Bx: Method invokes inefficient Number constructor; use static valueOf instead (DM_NUMBER_CTOR),Performance (PERFORMANCE),Yes,Yes but no time,enhanced with multiline,,,,,,,,,,Y,Y,,Y,inheritance graph,Y,Y,Y,
Bx: Method invokes inefficient floating-point Number constructor; use static valueOf instead (DM_FP_NUMBER_CTOR),Performance (PERFORMANCE),Yes,Yes but no time,enhanced with multiline,,,,,,,,,,Y,Y,,Y,,Y,Y,Y,
Bx: Method allocates a boxed primitive just to call toString (DM_BOXED_PRIMITIVE_TOSTRING),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,Y,
Bx: Boxing/unboxing to parse a primitive (DM_BOXED_PRIMITIVE_FOR_PARSING),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,Y,
Bx: Boxing a primitive to compare (DM_BOXED_PRIMITIVE_FOR_COMPARE),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,Y,,Y,,,
Bx: Primitive value is unboxed and coerced for ternary operator (BX_UNBOXED_AND_COERCED_FOR_TERNARY_OPERATOR),Performance (PERFORMANCE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
Bx: Boxed value is unboxed and then immediately reboxed (BX_UNBOXING_IMMEDIATELY_REBOXED),Performance (PERFORMANCE),No,No for regex limitation,,,,,,,,,,,Y,Y,,Y,,,,,
Bx: Primitive value is boxed and then immediately unboxed (BX_BOXING_IMMEDIATELY_UNBOXED),Performance (PERFORMANCE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
Bx: Primitive value is boxed then unboxed to perform primitive coercion (BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,Y,
"Dm: Method allocates an object, only to get the class object (DM_NEW_FOR_GETCLASS)",Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,,
Dm: Use the nextInt method of Random rather than nextDouble to generate a random integer (DM_NEXTINT_VIA_NEXTDOUBLE),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,Y,,Y,,,,Y,Y,Y,
SS: Unread field: should this field be static? (SS_SHOULD_BE_STATIC),Performance (PERFORMANCE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
UuF: Unused field (UUF_UNUSED_FIELD),Performance (PERFORMANCE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
UrF: Unread field (URF_UNREAD_FIELD),Performance (PERFORMANCE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
SIC: Should be a static inner class (SIC_INNER_SHOULD_BE_STATIC),Performance (PERFORMANCE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
SIC: Could be refactored into a static inner class (SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS),Performance (PERFORMANCE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
SIC: Could be refactored into a named static inner class (SIC_INNER_SHOULD_BE_STATIC_ANON),Performance (PERFORMANCE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
UPM: Private method is never called (UPM_UNCALLED_PRIVATE_METHOD),Performance (PERFORMANCE),No,No for multi-line,,,,,,Y,,,,,,,,,,,,,
SBSC: Method concatenates strings using + in a loop (SBSC_USE_STRINGBUFFER_CONCATENATION),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
IIL: NodeList.getLength() called in a loop (IIL_ELEMENTS_GET_LENGTH_IN_LOOP),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
IIL: Method calls prepareStatement in a loop (IIL_PREPARE_STATEMENT_IN_LOOP),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
IIL: Method calls Pattern.compile in a loop (IIL_PATTERN_COMPILE_IN_LOOP),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
IIL: Method compiles the regular expression in a loop (IIL_PATTERN_COMPILE_IN_LOOP_INDIRECT),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
IIO: Inefficient use of String.indexOf(String) (IIO_INEFFICIENT_INDEX_OF),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,,Y,Y,,,,Y,,Y,
IIO: Inefficient use of String.lastIndexOf(String) (IIO_INEFFICIENT_LAST_INDEX_OF),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,,Y,Y,,,,Y,,Y,
ITA: Method uses toArray() with zero-length array argument (ITA_INEFFICIENT_TO_ARRAY),Performance (PERFORMANCE),No,No for regex limitation,,,,,,,,,,Y,,Y,,,,,,,
WMI: Inefficient use of keySet iterator instead of entrySet iterator (WMI_WRONG_MAP_ITERATOR),Performance (PERFORMANCE),No,No for multi-line,,,,,,,,Y,,Y,,Y,,,,,,,
UM: Method calls static Math class method on a constant value (UM_UNNECESSARY_MATH),Performance (PERFORMANCE),Yes,Yes but no time,,,,,,,,,,,Y,Y,,,,Y,,Y,
IMA: Method accesses a private member variable of owning class (IMA_INEFFICIENT_MEMBER_ACCESS),Performance (PERFORMANCE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
XSS: Servlet reflected cross site scripting vulnerability in error page (XSS_REQUEST_PARAMETER_TO_SEND_ERROR),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
XSS: Servlet reflected cross site scripting vulnerability (XSS_REQUEST_PARAMETER_TO_SERVLET_WRITER),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
XSS: JSP reflected cross site scripting vulnerability (XSS_REQUEST_PARAMETER_TO_JSP_WRITER),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
HRS: HTTP Response splitting vulnerability (HRS_REQUEST_PARAMETER_TO_HTTP_HEADER),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
HRS: HTTP cookie formed from untrusted input (HRS_REQUEST_PARAMETER_TO_COOKIE),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
PT: Absolute path traversal in servlet (PT_ABSOLUTE_PATH_TRAVERSAL),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
PT: Relative path traversal in servlet (PT_RELATIVE_PATH_TRAVERSAL),Security (SECURITY),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
Dm: Hardcoded constant database password (DMI_CONSTANT_DB_PASSWORD),Security (SECURITY),Yes,Yes but no time,enhaced with multiline,,,,,,,,,,Y,Y,,,,Y,,Y,
Dm: Empty database password (DMI_EMPTY_DB_PASSWORD),Security (SECURITY),Yes,Yes but no time,enhaced with multiline,,,,,,,,,,Y,Y,,,,Y,,Y,
SQL: Nonconstant string passed to execute or addBatch method on an SQL statement (SQL_NONCONSTANT_STRING_PASSED_TO_EXECUTE),Security (SECURITY),No,Yes but no time,enhaced with multiline,,,,,,,,,Y,,Y,,,,,,,
SQL: A prepared statement is generated from a nonconstant String (SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING),Security (SECURITY),No,Yes but no time,enhaced with multiline,,,,,,,,,Y,,Y,,,,,,,
CAA: Covariant array assignment to a field (CAA_COVARIANT_ARRAY_FIELD),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,Y,,,Y,,,inheritance graph,,,,
CAA: Covariant array is returned from the method (CAA_COVARIANT_ARRAY_RETURN),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,inheritance graph,,,,
CAA: Covariant array assignment to a local variable (CAA_COVARIANT_ARRAY_LOCAL),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,Y,,,,,,,inheritance graph,,,,
Dm: Call to unsupported method (DMI_UNSUPPORTED_METHOD),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
Dm: Thread passed where Runnable expected (DMI_THREAD_PASSED_WHERE_RUNNABLE_EXPECTED),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
NP: Dereference of the result of readLine() without nullcheck (NP_DEREFERENCE_OF_READLINE_VALUE),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,Y,,, data flow,,,,
NP: Immediate dereference of the result of readLine() (NP_IMMEDIATE_DEREFERENCE_OF_READLINE),Dodgy code (STYLE),Yes,Yes but no time,,,,,,,,,,,Y,Y,,,,Y,,,
RV: Remainder of 32-bit signed random integer (RV_REM_OF_RANDOM_INT),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
RV: Remainder of hashCode could be negative (RV_REM_OF_HASHCODE),Dodgy code (STYLE),Yes,No for multi-line,,,,,,,,,,Y,,Y,,,,Y,Y,,
Eq: Unusual equals method (EQ_UNUSUAL),Dodgy code (STYLE),No,No for regex limitation,,,,,,,Y,,,Y,,Y,,,inheritance graph,,,,
Eq: Class doesn’t override equals in superclass (EQ_DOESNT_OVERRIDE_EQUALS),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
NS: Questionable use of non-short-circuit logic (NS_NON_SHORT_CIRCUIT),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
NS: Potentially dangerous use of non-short-circuit logic (NS_DANGEROUS_NON_SHORT_CIRCUIT),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
IC: Initialization circularity (IC_INIT_CIRCULARITY),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
IA: Potentially ambiguous invocation of either an inherited or outer method (IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
Se: Private readResolve method not inherited by subclasses (SE_PRIVATE_READ_RESOLVE_NOT_INHERITED),Dodgy code (STYLE),Yes,No for multi-line,,,,,,,Y,,,,,,,,inheritance graph,Y,Y,,
Se: Transient field of class that isn’t Serializable. (SE_TRANSIENT_FIELD_OF_NONSERIALIZABLE_CLASS),Dodgy code (STYLE),Yes,No for regex limitation,,,,,Y,,,,,,,,,,inheritance graph,Y,Y,,
SF: Switch statement found where one case falls through to the next case (SF_SWITCH_FALLTHROUGH),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
SF: Switch statement found where default case is missing (SF_SWITCH_NO_DEFAULT),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
UuF: Unused public or protected field (UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
UrF: Unread public/protected field (URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,Y,,,,,,,,,,,,,
"QF: Complicated, subtle or wrong increment in for-loop (QF_QUESTIONABLE_FOR_LOOP)",Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,,,,control flow,,,,
NP: Read of unwritten public or protected field (NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,Y,,,,,,,,,data flow,,,,
UwF: Field not initialized in constructor but dereferenced without null check (UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR),Dodgy code (STYLE),No,No for multi-line,,,,,Y,Y,,,,,,,,,data flow,,,,
UwF: Unwritten public or protected field (UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,Y,,,,,,,,,data flow,,,,
UC: Useless non-empty void method (UC_USELESS_VOID_METHOD),Dodgy code (STYLE),No,No for regex limitation,,,,Y,,Y,,,,,,,,,,,,,
UC: Condition has no effect (UC_USELESS_CONDITION),Dodgy code (STYLE),No,No for regex limitation,,,,,,Y,,,,,,Y,,,control flow,,,,
UC: Condition has no effect due to the variable type (UC_USELESS_CONDITION_TYPE),Dodgy code (STYLE),No,No for regex limitation,,,,,,Y,,,,,,Y,,,control flow,,,,
UC: Useless object created (UC_USELESS_OBJECT),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,,,,,
UC: Useless object created on stack (UC_USELESS_OBJECT_STACK),Dodgy code (STYLE),Yes,Yes but no time,,,,,,,,,,,Y,,,,,,Y,,
"RV: Method ignores return value, is this OK? (RV_RETURN_VALUE_IGNORED_INFERRED)",Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
RV: Return value of method without side effect is ignored (RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
RV: Method checks to see if result of String.indexOf is positive (RV_CHECK_FOR_POSITIVE_INDEXOF),Dodgy code (STYLE),Yes,No for multi-line,,,,,,,,,,Y,,,,,control flow,Y,Y,,
RV: Method discards result of readLine after checking if it is non-null (RV_DONT_JUST_NULL_CHECK_READLINE),Dodgy code (STYLE),Yes,Yes but no time,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
NP: Parameter must be non-null but is marked as nullable (NP_PARAMETER_MUST_BE_NONNULL_BUT_MARKED_AS_NULLABLE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,Y,,,Y,,,Y,,,,,,
NP: Possible null pointer dereference due to return value of called method (NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE),Dodgy code (STYLE),Yes,No for regex limitation,,,,,,,,,,Y,,,,,,Y,,,
NP: Possible null pointer dereference on branch that might be infeasible (NP_NULL_ON_SOME_PATH_MIGHT_BE_INFEASIBLE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
NP: Load of known null value (NP_LOAD_OF_KNOWN_NULL_VALUE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,data flow,,,,
PZLA: Consider returning a zero length array rather than null (PZLA_PREFER_ZERO_LENGTH_ARRAYS),Dodgy code (STYLE),No,No for multi-line,,,,,,,Y,,,Y,,,,,data flow,,,,
UCF: Useless control flow (UCF_USELESS_CONTROL_FLOW),Dodgy code (STYLE),No,No for multi-line,only empty if-statement block,,,,,,,,,Y,,,,,control flow,,,,
UCF: Useless control flow to next line (UCF_USELESS_CONTROL_FLOW_NEXT_LINE),Dodgy code (STYLE),Yes,Yes but no time,,,,,,,,,,Y,,,,,control flow,,Y,,
RCN: Redundant nullcheck of value known to be null (RCN_REDUNDANT_NULLCHECK_OF_NULL_VALUE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
RCN: Redundant nullcheck of value known to be non-null (RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
RCN: Redundant comparison of two null values (RCN_REDUNDANT_COMPARISON_TWO_NULL_VALUES),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
RCN: Redundant comparison of non-null value to null (RCN_REDUNDANT_COMPARISON_OF_NULL_AND_NONNULL_VALUE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,"control flow, data flow",,,,
SA: Self assignment of local variable (SA_LOCAL_SELF_ASSIGNMENT),Dodgy code (STYLE),No,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,,,,,,,,
INT: Integer remainder modulo 1 (INT_BAD_REM_BY_1),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
INT: Vacuous comparison of integer value (INT_VACUOUS_COMPARISON),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
INT: Vacuous bit mask operation on integer value (INT_VACUOUS_BIT_OPERATION),Dodgy code (STYLE),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,,Y,Y,
SA: Double assignment of local variable (SA_LOCAL_DOUBLE_ASSIGNMENT),Dodgy code (STYLE),No,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,,,,,,,,
SA: Double assignment of field (SA_FIELD_DOUBLE_ASSIGNMENT),Dodgy code (STYLE),No,Yes and implemented,enhanced with multiline,,,,,,,Y,,,,,,,,,,,
DLS: Useless assignment in return statement (DLS_DEAD_LOCAL_STORE_IN_RETURN),Dodgy code (STYLE),No,No for multi-line,,,,,,,,Y,,,,,,,,,,,
DLS: Dead store to local variable (DLS_DEAD_LOCAL_STORE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,Y,,Y,,,,,,,,,
DLS: Dead store to local variable that shadows field (DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD),Dodgy code (STYLE),No,No for regex limitation,,,,,Y,Y,,,,,,,,,,,,,
DLS: Dead store of null to local variable (DLS_DEAD_LOCAL_STORE_OF_NULL),Dodgy code (STYLE),No,No for multi-line,,,,,,,,Y,,Y,,,,,data flow,,,,
REC: Exception is caught when Exception is not thrown (REC_CATCH_EXCEPTION),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,,,,control flow,,,,
FE: Test for floating point equality (FE_FLOATING_POINT_EQUALITY),Dodgy code (STYLE),Yes,No for multi-line,,,,,,,,,,,Y,Y,,,,,Y,Y,
CD: Test for circular dependencies among classes (CD_CIRCULAR_DEPENDENCY),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
RI: Class implements same interface as superclass (RI_REDUNDANT_INTERFACES),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,inheritance graph,,,,
MTIA: Class extends Struts Action class and uses instance variables (MTIA_SUSPECT_STRUTS_INSTANCE_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,,,,,,,,,,inheritance graph,,,,
MTIA: Class extends Servlet class and uses instance variables (MTIA_SUSPECT_SERVLET_INSTANCE_FIELD),Dodgy code (STYLE),No,No for multi-line,,,,,Y,,,,,,,,,,inheritance graph,,,,
PS: Class exposes synchronization and semaphores in its public interface (PS_PUBLIC_SEMAPHORES),Dodgy code (STYLE),No,No for regex limitation,,Y,,,,,,,,,,,,,,,,,
ICAST: Result of integer multiplication cast to long (ICAST_INTEGER_MULTIPLY_CAST_TO_LONG),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
ICAST: Integral division result cast to double or float (ICAST_IDIV_CAST_TO_DOUBLE),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BC: Questionable cast to concrete collection (BC_BAD_CAST_TO_CONCRETE_COLLECTION),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
BC: Unchecked/unconfirmed cast (BC_UNCONFIRMED_CAST),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
BC: Unchecked/unconfirmed cast of return value from method (BC_UNCONFIRMED_CAST_OF_RETURN_VALUE),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,Y,,,,,,,
BC: instanceof will always return true (BC_VACUOUS_INSTANCEOF),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,Y,,,,,,,
BC: Questionable cast to abstract collection (BC_BAD_CAST_TO_ABSTRACT_COLLECTION),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,,Y,Y,,,,,,,
IM: Check for oddness that won’t work for negative numbers (IM_BAD_CHECK_FOR_ODD),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,Y,,Y,,,,,,,
IM: Computation of average could overflow (IM_AVERAGE_COMPUTATION_COULD_OVERFLOW),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
BSHIFT: Unsigned right shift cast to short/byte (ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT),Dodgy code (STYLE),No,No for multi-line,,,,,,,,,,Y,,Y,,,,,,,
DMI: Code contains a hard coded reference to an absolute pathname (DMI_HARDCODED_ABSOLUTE_FILENAME),Dodgy code (STYLE),Yes,Yes but no time,enhanced by multiline,,,,,,,,,,Y,,,,,Y,,Y,
"DMI: Invocation of substring(0), which returns the original value (DMI_USELESS_SUBSTRING)",Dodgy code (STYLE),Yes,Yes but no time,,,,,,,,,,,Y,,,,data flow,Y,,Y,
ST: Write to static field from instance method (ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD),Dodgy code (STYLE),No,No for multi-line,,,,,,,Y,,Y,,,,,,,,,,
DMI: Non serializable object written to ObjectOutput (DMI_NONSERIALIZABLE_OBJECT_WRITTEN),Dodgy code (STYLE),No,No for regex limitation,,,,,,,,,,,Y,,,,inheritance graph,,,,
